"healthy_store_market","borough","year","address","longitude","latitude","zip"
"Guy R Brewer Boulevard Farmers Market at NYC Health + Hospitals/Queens","Queens",2020,"114-02 Guy R Brewer Blvd",-73.785593,40.688615,"11433"
"Jackson Heights Greenmarket","Queens",2020,"34th Ave bet 79th & 80th Sts",-73.887822,40.753435,"11372"
"Joseph Addabbo FHC Farm Stand","Queens",2020,"6200 Beach Channel Dr",-73.79166,40.593313,"11692"
"Queens Botanical Garden's Down to Earth Farmers' Market","Queens",2020,"82 Dahlia Ave",-73.826362,40.75186,"11355"
"Queens County Farm Museum Farm Stand","Queens",2020,"73-50 Little Neck Pkwy",-73.719431,40.748163,"11004"
"Queens County Farm Museum Farm Stand at Jamaica Hospital ","Queens",2020,"134-20 Jamaica Ave.",-73.816861,40.702445,"11418"
"Ridgewood Farmstand","Queens",2020,"Cypress Ave bet Myrtle & Putnam Aves",-73.90621,40.700123,"11385"
"Rockaway Youth Task Force Youth Market","Queens",2020,"310 Beach 58th St",-73.788077,40.594492,"11692"
"Socrates Sculpture Garden ","Queens",2020,"31-30 Vernon Boulevard ",-73.921724,40.768504,"11102"
"Sunnyside Greenmarket","Queens",2020,"Skillman Ave bet 42nd & 43rd Sts",-73.921724,40.746999,"11104"
"Goodhue Center Go!Healthy Farm Stand","Staten Island",2020,"301 Prospect Ave",-74.097422,40.638983,"10301"
"St. George Greenmarket","Staten Island",2020,"Hyatt St & St Marks Pl",-74.0779,40.641586,"10301"
"Staten Island Mall Greenmarket","Staten Island",2020,"Marsh Ave & Ring Rd",-74.161245,40.583804,"10314"
"The Laurelton Farmers Market","Queens",2020,"241st and 144st Road, Laurelton NY ",-73.751335,40.668918,"11413"
