"","healthy_store_market","borough","year","address","latitude","longitude"
"306","53 BUFFALO DELI","Brooklyn",2018,"53 Buffalo Avenue",40.677333,-73.924748
"307","A&H MINI MARKET","Brooklyn",2018,"323 Ralph Avenue",40.677951,-73.921715
"308","ADAMZ DELI & GRILL","Brooklyn",2018,"354 Saratoga Avenue",40.673578,-73.916764
"309","ATLANTIC BEST DELI","Brooklyn",2018,"2053 Atlantic Avenue",40.676469,-73.913
"310","EASY STOP DELI","Brooklyn",2018,"2059 Fulton Street",40.678273,-73.910506
"311","FULTON&SARATOGA DELI","Brooklyn",2018,"1961 Fulton Street",40.678596,-73.916516
"312","HANCOCK DELI","Brooklyn",2018,"865 Hancock Street",40.685892,-73.920898
"313","KEIRY DELI","Brooklyn",2018,"483 Ralph Avenue",40.672657,-73.922215
"314","KINGSBOROUGH DELI","Brooklyn",2018,"374 Ralph Avenue",40.676014,-73.921923
"315","MALCOLM X GROCERY","Brooklyn",2018,"360 Malcolm X BLVD",40.680605,-73.928606
"316","MALCOLM X SHOP SMART","Brooklyn",2018,"297 Malcom X BLVD",40.681862,-73.928835
"317","MONTSE DELI","Brooklyn",2018,"564 Bainbridge Street",40.682914,-73.914066
"318","MORALES GROCERY","Brooklyn",2018,"433 Ralph Avenue",40.674337,-73.922058
"319","QUALITY DELI","Brooklyn",2018,"1872 Fulton Street",40.679029,-73.924663
"320","STUYVESANT DELI SUPRMKT","Brooklyn",2018,"357 Stuyvesant Avenue",40.682031,-73.93186
"321","VA GROCERY AND DELI","Brooklyn",2018,"207 Hull Street",40.679876,-73.908009
"322","ASSOCIATED","Brooklyn",2018,"1888 Fulton Street",40.678993,-73.924043
"323","FOOD BAZAAR","Brooklyn",2018,"1682 ST Johns Place",40.670077,-73.92188
"324","NSA SUPERMARKET","Brooklyn",2018,"2220 Atlantic Avenue",40.67638,-73.911727
"325","VALERIO & SONS DELI GROCERY","Bronx",2018,"1383 Boston Road",40.832967,-73.897535
"326","TEJEDA’S GROCERY","Bronx",2018,"271 E 166th Street",40.830489,-73.91553
"327","FULTON DELI","Bronx",2018,"1225 Fulton Avenue",40.830933,-73.90431
"328","LA FUERTE DELI GROCERY","Bronx",2018,"1408 Fulton Avenue",40.834741,-73.901771
"329","LAYSHA DELI GROCERY","Bronx",2018,"1274 WebsterAvenue",NA,NA
"330","LOS HIJOS DE CHORRO DELI # 2","Bronx",2018,"1278 Grand Concourse",40.836196,-73.916051
"331","LOS MELLIZOS GROCERY DELI","Bronx",2018,"199 East 165 Street",40.830374,-73.919017
"332","A&M SUPERMARKET","Bronx",2018,"1393 Webster Avenue",40.836099,-73.90749
"333","735 SUPERMARKET","Bronx",2018,"735 East 166 Street",40.826579,-73.902968
"334","O & V DELI","Bronx",2018,"1397 Franklin Avenue",40.834122,-73.90024
"335","ONE FAMILY DELI GROCERY","Bronx",2018,"292 East 166 Street",40.830198,-73.914681
"336","180 LA SOLUCION","Bronx",2018,"180 McClellan Street",40.832783,-73.918151
"337","AYLIN GROCERY","Bronx",2018,"388 E 169th Street",40.834248,-73.90979
"338","BARAKA AFRICAN MKT STORE","Bronx",2018,"1345 Webster Avenue",40.835103,-73.908051
"339","BRAVO SUPERMARKET","Bronx",2018,"210 East 170th Street",40.838472,-73.913142
"340","ELAINY DELI GROCERY CORP","Bronx",2018,"1154 Washington Avenue",40.828949,-73.908197
"341","ELVA DELI GROCERY","Bronx",2018,"751 Home Steet",NA,NA
"342","FOOD BAZAAR","Bronx",2018,"535 East 170th Street",40.834931,-73.903144
"343","KEY FOOD","Bronx",2018,"256 East 167th Street",40.833464,-73.914634
"344","PIONEER SUPERMARKET","Bronx",2018,"275 East 169th Street",40.835227,-73.912662
"345","1296 SHERIDAN DELI GRCR","Bronx",2018,"1296 Sheridan Avenue",40.836252,-73.914551
"346","ABREU GROCERY","Bronx",2018,"773 East 169th Street",40.83069,-73.899562
"347","COMPARE SUPERMARKET","Bronx",2018,"1091 Boston Road",40.827009,-73.905229
"348","GREEN EARTH GRCY STORE","Bronx",2018,"1420 Grand Concourse",40.839249,-73.913448
"349","M&G FOOD CORP","Bronx",2018,"391 East 167TH Street",40.830862,-73.910897
"350","MCL FRUIT & VEGETABLES","Bronx",2018,"227 East 167th Street",40.833717,-73.915389
"351","PAPASE DELI GROCERY","Bronx",2018,"1331 Webster Avenue",40.834708,-73.908272
"352","Associated Supermarket","Bronx",2018,"206 East 167th Street",40.833992,-73.916342
"353","S & R DELI GROCERY CORP","Bronx",2018,"300 East 170TH Street",40.837416,-73.910393
"354","C TOWN SUPERMARKET","Bronx",2018,"630 East 169ST Street",40.831164,-73.900894
"355","C- TOWN SUPERMARKET","Bronx",2018,"3690 Third Avenue",40.834976,-73.90353
"356","SHOP FAIR SUPERMARKET","Bronx",2018,"306 East 170 Street",40.837377,-73.910296
"357","MR Grill Deli Grocery","Bronx",2018,"1431 Prospect Avenue",40.833627,-73.896384
"358","147 M&A grocery deli","Brooklyn",2019,"147 Wilson Avenue",40.700422,-73.925209
"359","ACOSTA GROCERY STORE","Brooklyn",2019,"313 Wilson Avenue",40.696702,-73.918671
"360","Anna’s Best","Brooklyn",2019,"139 Saint Nicholas Avenue",40.705094,-73.917507
"361","Bleecker Deli & Grill","Brooklyn",2019,"442 Bleecker St # A",40.703707,-73.912705
"362","Bushwick Deli","Brooklyn",2019,"1449 Myrtle Avenue",40.698859,-73.917944
"363","Chino’s Deli and Grill","Brooklyn",2019,"422 Irving Avenue",40.696629,-73.910197
"364","City Fresh Market","Brooklyn",2019,"229 Knickerbocker Avenue",40.703017,-73.925736
"365","DEKALB MARKET","Brooklyn",2019,"1549 Dekalb Avenue",40.702936,-73.920597
"366","D'ELIA DELI GROCERY","Brooklyn",2019,"43 Wilson Avenue",40.702758,-73.929314
"367","DOMINGO GROCERY","Brooklyn",2019,"1004 Flushing Avenue",40.703819,-73.931012
"368","Emita Grocery","Brooklyn",2019,"1711 Harman Street",NA,NA
"369","FOOD BAZAAR","Brooklyn",2019,"17-59 Ridgewood Place",40.698456,-73.91119
"370","Food Story","Brooklyn",2019,"1552 Myrtle Avenue",40.699485,-73.911498
"371","Halsey deli &Grill","Brooklyn",2019,"1245 Halsey Street",40.693512,-73.90759
"372","Irving Gourmet Deli","Brooklyn",2019,"350 Irving Avenue",40.69791,-73.912453
"373","Kanowa Deli","Brooklyn",2019,"17-11 Bleecker Street",40.693104,-73.923216
"374","Key Food","Brooklyn",2019,"72 Wyckoff Avenue",40.705039,-73.920414
"375","Metfresh Supermarket","Brooklyn",2019,"1397 Myrtle Avenue",40.69857,-73.920717
"376","Mi Pueblo Deli Mini Market Corp.","Brooklyn",2019,"180 Irving Avenue",40.701761,-73.919217
"377","Mr. Grocery","Brooklyn",2019,"164 Irving Avenue",40.702187,-73.919967
"378","Mr. Lemon","Brooklyn",2019,"410 Knickerbocker Avenue",40.699749,-73.920024
"379","NANA DELI GROCERY","Brooklyn",2019,"182 Wilson Avenue",40.699516,-73.923652
"380","Nen Grocery","Brooklyn",2019,"201 Irving Avenue",40.701475,-73.918676
"381","New Way Supermarket","Brooklyn",2019,"114 Wyckoff Avenue",40.703783,-73.918403
"382","Quisqueya Deli Grocery","Brooklyn",2019,"181 Saint Nicholas Avenue",40.704056,-73.915748
"383","Raydan Deli","Brooklyn",2019,"276 Wilson Avenue",40.697075,-73.919363
"384","Stop 1 Grocery Store","Brooklyn",2019,"263 Wyckoff Avenue # A",40.701142,-73.91397
"385","TAMBRU FRUIT MARKET","Brooklyn",2019,"272 Knickerbocker Avenue",40.702236,-73.924388
"386","Valdez Mini Market","Brooklyn",2019,"1524 Jefferson Avenue",40.697294,-73.907365
"387","Valerie Deli Grocery Corp","Brooklyn",2019,"216 Knickerbocker Avenue",40.703297,-73.926262
"388","Valerie Grocery","Brooklyn",2019,"237 Irving Avenue",40.70062,-73.917173
"389","Villa F deli grocery","Brooklyn",2019,"17-12 Menahan Street",40.69273,-73.922419
"390","Yasmin Deli Grocery","Brooklyn",2019,"1436 Myrtle Avenue",40.698918,-73.917197
"391","NADAL 3 DELI CONVENIENCE","Bronx",2019,"888 Grand Concourse",40.826613,-73.922751
"392","THIRD Avenue GROCERY&DELI","Bronx",2019,"3047 3rd Avenue",40.820247,-73.913
"393","Elvis Deli Grocery","Bronx",2019,"430 Grand Concourse",40.817035,-73.927983
"394","La Colonia Food","Bronx",2019,"594 Morris Avenue",40.818403,-73.922287
"395","C-Town supermarket","Bronx",2019,"3220 Third Avenue",40.82348,-73.909043
"396","C town Supermarket","Bronx",2019,"2733 third Avenue",40.814329,-73.920981
"397","Chris Deli Buffet Salad bar","Bronx",2019,"903 Sheridan Avenue",40.827092,-73.920774
"398","Fine Fare Supermarket","Bronx",2019,"675 Morris Avenue # 5",40.820467,-73.921371
"399","Key Food Supermarket","Bronx",2019,"760 Melrose Avenue",40.821431,-73.915289
"400","La Campiña Deli Grocery","Bronx",2019,"802 Melrose Avenue",40.822584,-73.914684
"401","Food Town","Bronx",2019,"3100 3rd Avenue",40.821566,-73.912106
"402","Food Bazaar","Bronx",2019,"238 East 161 Street",40.825947,-73.919633
"403","760 Grand Concourse Food Corp","Bronx",2019,"760 Grand Concourse",40.823968,-73.9243
"404","Court Side Deli II","Bronx",2019,"845 Concourse West Village",NA,NA
"405","URENA GROCERY","Bronx",2019,"759 Gerard Avenue",40.825155,-73.92633
"406","Gerard Food Market","Bronx",2019,"740 Gerard Avenue",40.824719,-73.926561
"407","M G DELI CORP","Bronx",2019,"917 Sheridan Avenue",40.827923,-73.92031
"408","153 Deli Grocery","Bronx",2019,"153 East 149th",NA,NA
"409","D G deli","Bronx",2019,"528 Morris Avenue",40.817111,-73.922881
"410","Amor Deli Grocery","Manhattan",2019,"21 Convent Avenue",40.813617,-73.953094
"411","C TOWN","Manhattan",2019,"560 est 125th Street",NA,NA
"412","Eleganza Gourmet Deli","Manhattan",2019,"1 Covent Avenue",NA,NA
"413","FAMILY COMMUNITY DELI &","Manhattan",2019,"41 ST Nicholas Terr.",40.813663,-73.951262
"414","Food town/Fine Fare Supermarket","Manhattan",2019,"2463 Frederick Douglass Blvd",40.81449,-73.948028
"415","Lenox deli gourmet corp.","Manhattan",2019,"370 Malcolm X Blvd",40.810045,-73.943812
"416","Gourmet Revolution","Manhattan",2019,"2090 7th Avenue",40.808639,-73.948582
"417","Jhajara Deli -Anan Gourmet Deli","Manhattan",2019,"2391 Frederick Douglass Blvd",40.812323,-73.949609
"418","Manhattan Food Market","Manhattan",2019,"507 Manhattan Avenue",40.80832,-73.954434
"419","MANHATTANVILLE DELI","Manhattan",2019,"1413 Amsterdam Avenue",40.815476,-73.954726
"420","Met Foodmarket","Manhattan",2019,"1316 Amsterdam Avenue",40.812515,-73.95691
"421","Sarah Deli Grocery","Manhattan",2019,"201 West 131st Street",40.812933,-73.945985
"422","Shop & Fair Supermarket","Manhattan",2019,"2108 Adam Clayton Powell Blvd",40.809286,-73.948112
"423","St Nicholas Express Deli Inc","Manhattan",2019,"25 Saint Nicholas Ter # 1",40.813136,-73.951642
"424","Sweet corner grocery","Manhattan",2019,"550 West 126 Street",40.815638,-73.957009
"425","THRIFTY DELI SPRMKT","Manhattan",2019,"3149 Broadway",40.814248,-73.959354
"426","SIRAH 1720 LLC","Brooklyn",2020,"535 MARCY AVE",40.696961,-73.949512
"427","M AND D MINI MARKET","Brooklyn",2020,"613 MARCY AVE",40.693796,-73.948883
"428","FIRST STOP GROCERY INC","Brooklyn",2020,"643 MARCY AVE",40.692552,-73.948632
"429","BC GROCERY CORP","Brooklyn",2020,"305 THROOP AVE",40.69325,-73.942973
"430","TAJUKEN DELI CORP","Brooklyn",2020,"114 MARCUS GARVEY BLVD",40.694772,-73.940401
"431","AANDE DIRECT LLC","Brooklyn",2020,"40 LEWIS AVE",40.696631,-73.937792
"432","CENTRAL ORGANIC","Brooklyn",2020,"67 CENTRAL AVE",40.701096,-73.930445
"433","ALBANITA DELI GROCERY CORP","Brooklyn",2020,"586 BUSHWICK AVE",40.698801,-73.934973
"434","194 THROOP FOOD CORP","Brooklyn",2020,"777 PARK AVE",40.698191,-73.944311
"435","BROADWAY ORGANIC DELI INC","Brooklyn",2020,"799 BROADWAY",40.699745,-73.940176
"436","STAY FRESH GRILL II CORP","Brooklyn",2020,"889 BROADWAY",40.698031,-73.937095
"437","L STOP GOURMET DELI CORP","Brooklyn",2020,"223 MONTROSE AVE",40.707628,-73.940213
"438","7 SEAS GROCERY CORP","Brooklyn",2020,"235 BUSHWICK AVE",40.707908,-73.93987
"439","MLD 91 FOOD CORP","Brooklyn",2020,"91 HUMBOLDT ST",40.704472,-73.941009
"440","JC DELI AND GRILL CORPORATION","Brooklyn",2020,"442 LORIMER ST",40.710105,-73.948708
"441","ROCKY DELI GROCERY INC","Brooklyn",2020,"590 BROADWAY",40.703761,-73.947242
"442","HERMANOS ACOSTA FOOD CORP","Brooklyn",2020,"166 MANHATTAN AVE",40.708517,-73.945096
"443","131 MANHATTAN DELI GROCERY CORP","Brooklyn",2020,"134 MANHATTAN AVE",40.707282,-73.944905
"444","GRAHAM STOP ONE DELI INC","Brooklyn",2020,"146 GRAHAM AVE",40.70643,-73.943045
"445","MR NICE GUY DELI GRILL","Brooklyn",2020,"92 MANHATTAN AVE",40.705465,-73.944629
"446","FAMOUS DELI AND GRILL INC","Brooklyn",2020,"116 GRAHAM AVE",40.705288,-73.942858
"447","BOGOPA MANHATTAN INC","Brooklyn",2020,"21 MANHATTAN AVE",40.702939,-73.944235
"448","LEE HEYWARD GROCERY INC","Brooklyn",2020,"198 LEE AVE",40.701855,-73.955636
"449","574 MARCY DELI CORP","Brooklyn",2020,"574 MARCY AVE",40.695056,-73.949153
"450","164 TOMPKIN DELI","Brooklyn",2020,"164 TOMPKINS ST",NA,NA
"451","BROOKLYNS FINEST DELI CORP","Brooklyn",2020,"131 TOMPKINS AVE",40.695076,-73.946235
"452","J A TOMPKINS FOOD CORP","Brooklyn",2020,"920 MYRTLE AVE",40.695814,-73.945344
"453","GAWAD DELI GROCERY CORP","Brooklyn",2020,"207 HART ST",40.693782,-73.943525
"454","JRM DELI GROCERY CORP","Brooklyn",2020,"98 MARCUS GARVEY BLVD",40.695505,-73.940544
"455","AFS MARKET INC","Brooklyn",2020,"1102 MYRTLE AVE",40.696817,-73.936605
"456","MONEGRO HECTOR E","Brooklyn",2020,"105 CENTRAL AVE",40.700362,-73.929144
"457","GREEN CORNER OF NY LLC","Brooklyn",2020,"801 FLUSHING AVE",40.701019,-73.940705
"458","726 MEAT MARKET INC","Brooklyn",2020,"726 BROADWAY",40.701171,-73.942667
"459","711 BROOKLYN DELI CORP","Brooklyn",2020,"711 FLUSHING AVE",40.700458,-73.944197
"460","BNS HOT DELI CORP","Brooklyn",2020,"773 PARK AVE",40.698174,-73.944451
"461","EAGLE DELI AND GRILL INC","Brooklyn",2020,"317 BUSHWICK AVE",40.705468,-73.939457
"462","BUSHWICK DELI GROCERY CORP","Brooklyn",2020,"285 BUSHWICK AVE",40.706409,-73.939619
"463","THE LUNCH BOX DELI CORP","Brooklyn",2020,"204 BUSHWICK AVE",40.708767,-73.940031
"464","PAULA MARKET AND DELI CORP","Brooklyn",2020,"276 HUMBOLDT ST",40.711173,-73.942114
"465","MAJOR DELI AND GROCERY CORP","Brooklyn",2020,"203 MAUJER ST",40.711063,-73.942161
"466","SEM SEM DELI CORP","Brooklyn",2020,"75 HUMBOLDT ST",40.704022,-73.940926
"467","LORIMER DELI FOOD CORP","Brooklyn",2020,"400 LORIMER ST",40.708821,-73.948497
"468","ORANGE TREE ORGANIC MARKET CORP","Brooklyn",2020,"121 GRAHAM AVE",40.705994,-73.942995
"469","BONILLA CARLOS M","Brooklyn",2020,"62 MANHATTAN AVE",40.704416,-73.944457
"470","EXPRESS GROCERY AND DELI CORPORATIO","Brooklyn",2020,"25 BEAVER ST",40.700609,-73.938376
"471","128 T EDGECOMBE DELI CORP","Manhattan",2020,"128 EDGECOMBE AVE",40.820961,-73.945071
"472","135 FUTURE LANDM CORP","Manhattan",2020,"24 WEST 135TH ST",40.813209,-73.938756
"473","135TH STREET DELI AND GROCERY CORP","Manhattan",2020,"266 WEST 135TH ST",40.816213,-73.945877
"474","141 FINEST DELI CORP","Manhattan",2020,"332 WEST 141ST ST",40.820958,-73.945375
"475","2278 DELI AND GROCERY INC","Manhattan",2020,"2278 7TH AVE",40.814546,-73.944268
"476","477 FOOD CORP","Manhattan",2020,"477 LENOX AVE",40.813274,-73.94148
"477","7TH AVE DELI GROCERY CORP","Manhattan",2020,"2417 ADAM CLAYTON POWELL JR BLVD",40.819208,-73.940835
"478","ADAM 1 FOOD CENTER INC","Manhattan",2020,"2657 FREDERICK DOUGLAS BLVD",40.820741,-73.943464
"479","BEST OF HARLEM CORP","Manhattan",2020,"585 LENOX AVE",40.817351,-73.938503
"480","BIG APPLE GRILL DELI INC","Manhattan",2020,"521 LENOX AVE",40.814873,-73.940311
"481","EL PATIO DELI CORP","Manhattan",2020,"2082 MADISON AVE",40.809627,-73.93782
"482","ESAYI CORP","Manhattan",2020,"2461 ADAM CLAYTON POWELL JR BLVD",40.820418,-73.939952
"483","FUNFAIR DELI CORP","Manhattan",2020,"537 LENOX AVE",40.815499,-73.939852
"484","GOLDEN DELI GROCERY CORP","Manhattan",2020,"2210 5TH AVE",40.812473,-73.937835
"485","HARLEM EMPIRE DELI INC","Manhattan",2020,"251 WEST 135TH ST",40.816238,-73.945895
"486","JANET FOOD CORP","Manhattan",2020,"2630 FREDERICK DOUGLASS BLVD",40.819764,-73.944155
"487","K AND S DELI CORP","Manhattan",2020,"429 LENOX AVE",40.811888,-73.942496
"488","LENOX 551 DELI GROCERY CORP","Manhattan",2020,"551 LENOX AVE",40.815935,-73.939534
"489","LENOX AND 132ND FOOD CORP","Manhattan",2020,"448 LENOX AVE",40.812396,-73.942095
"490","LINCOLN DELI GROCERY INC 1","Manhattan",2020,"2095 MADISON AVE",40.809959,-73.937238
"491","MANDS FOOD CORP","Manhattan",2020,"2482 7TH AVE",40.821167,-73.939431
"492","MO DELI AND GRILL CORP","Manhattan",2020,"665 LENOX AVE",40.81925,-73.937114
"493","MR 2497 FOOD CORP","Manhattan",2020,"2497 7TH AVE",40.821482,-73.939178
"494","NUNEZ DOMINGO","Manhattan",2020,"2591 8TH AVE",40.818518,-73.945088
"495","RIMAR GOURMET DELI INC","Manhattan",2020,"2611 FREDERICK DOUGLAS BLVD",40.819097,-73.944665
"496","ROSANNA FOOD CORP","Manhattan",2020,"592 LENOX AVE",40.817088,-73.938669
"497","WINSOME DELI INC","Manhattan",2020,"482 LENOX AVE",40.813266,-73.941458
"498","1029 FOOD PLAZA INC","Bronx",2020,"1203 Sutter Avenue",NA,NA
"499","109 AJ DELI GROCERY CORP","Bronx",2020,"1211 Liberty Avenue",NA,NA
"500","124-176 MORRIS GROCERY CORP","Bronx",2020,"241 Ridgewood Avenue",NA,NA
"501","19 W BRONX DELI GROCERY CORP","Bronx",2020,"224 Lincoln Avenue",NA,NA
"502","48 BURNSIDE FOOD CORP","Bronx",2020,"290 Arlington Avenue",NA,NA
"503","58 BURNSIDE FOOD CORP","Bronx",2020,"690 Linwood St.",NA,NA
"504","60 WEST 183RD ST FOOD CORP","Bronx",2020,"1075 Liberty Avenue",NA,NA
"505","65 BURNSIDE MEAT MARKET CORP","Bronx",2020,"3336 Fulton St",NA,NA
"506","ADRIAN GROCERY STORE INC","Bronx",2020,"1055 Blake Avenue",NA,NA
"507","ALEX FOOD II CORP","Bronx",2020,"1615 UNIVERSITY AVE",40.847317,-73.919933
"508","ALTAGRACIA GROCERY CORP","Bronx",2020,"10 EAST 176TH ST",40.848576,-73.911408
"509","AMOR SUPERMARKET CORP","Bronx",2020,"35 WEST 183RD ST",40.85885,-73.905292
"510","BBC DELI GROCERY CORP","Bronx",2020,"51 EAST TREMONT AVE",40.851275,-73.908322
"511","BONAO MEATS AND PRODUCE II INC","Bronx",2020,"82 EAST BURNSIDE AVE",40.853268,-73.905933
"512","BURNSIDE AVE FOOD CENTER INC","Bronx",2020,"111 EAST BURNSIDE AVE",40.853059,-73.905344
"513","CRUZ MEAT CORP","Bronx",2020,"2262 JEROME AVE",40.85815,-73.904025
"514","GANDA DELI GROCERY CORP","Bronx",2020,"129 WEST TREMONT AVE",40.850025,-73.913756
"515","GAVA FOOD CORP","Bronx",2020,"127 WEST BURNSIDE AVE",40.853829,-73.913899
"516","ILIANA DELI GROCERY LLC","Bronx",2020,"25 EAST 176TH ST",40.848496,-73.910921
"517","JD DELI AND PIZZA INC","Bronx",2020,"2207 JEROME AVE",40.857217,-73.904601
"518","JESSICA SUPERMARKET CORP","Bronx",2020,"1645 GRAND AVE",40.846985,-73.91513
"519","JULIAN GROCERY CORP","Bronx",2020,"143 WEST BURNSIDE AVE",40.853898,-73.91434
"520","LA GRAN FAMOSA FOOD MARKET CORP","Bronx",2020,"1704 GRAND AVE",40.848507,-73.914025
"521","LA PODEROSA GROCERY STORE CORP","Bronx",2020,"27 EAST 175TH ST",40.847498,-73.911887
"522","LOS COMPADRES - 1 GROCERY INC","Bronx",2020,"21 WEST 176TH ST",40.848468,-73.913122
"523","LOS PINOS FOOD CORP","Bronx",2020,"148 EAST BURNSIDE AVE",40.852452,-73.904629
"524","LUCKY 3 CONVENIENCE AND DELI CORP","Bronx",2020,"16 WEST 177TH ST",40.850097,-73.911399
"525","MORRIS BEST DELI AND GRILL INC","Bronx",2020,"16 EAST 183RD ST",40.858583,-73.903355
"526","MY FAMILY DELI GROCERY CORP","Bronx",2020,"54 EAST 181ST ST",40.855271,-73.904564
"527","PALMAR MINI MARKET INC","Bronx",2020,"2160 WALTON AVE",40.855644,-73.904491
"528","PAN DELI GROCERY CORP","Bronx",2020,"1893 ANDREWS AVE",40.85362,-73.913889
"529","PEGUERO GRAND GROCERY CORP","Bronx",2020,"2241 GRAND AVE",40.858176,-73.90623
"530","PRIMAVERA DELI GROCERY CORP","Bronx",2020,"79 EAST BURNSIDE AVE",40.853301,-73.905973
"531","PUNAL GROCERY CORP","Bronx",2020,"218 WEST TREMONT AVE",40.85208,-73.91718
"532","RAYKELL FOOD CORP","Bronx",2020,"78 WEST 183RD ST",40.859302,-73.906622
"533","SABOR CRIOLLO GROCERY CORP","Bronx",2020,"1841 GRAND CONCOURSE",40.848022,-73.907336
"534","SAZON DELI GROCERY CORP","Bronx",2020,"131 EAST 183RD ST",40.857727,-73.900811
"535","SHOP LAND DISCOUNT CORP","Bronx",2020,"25 WEST TREMONT AVE",40.851922,-73.910883
"536","SWEET CORNER FOOD CENTER CORP","Bronx",2020,"1971 GRAND AVE",40.852161,-73.910789
"537","TEAMS MARKET INC","Bronx",2020,"1791 WALTON AVE",40.848015,-73.909927
"538","THREE TIMES C FOOD CORP","Bronx",2020,"1707 UNIVERSITY AVE",40.849338,-73.917089
"539","TRES K DELI GRCY FRUITANDMEAT INC","Bronx",2020,"125 WEST TREMONT AVE",40.850041,-73.913619
"540","TU GENTE DELI AND GROCERY CORP","Bronx",2020,"1801 UNIVERSITY AVE",40.850561,-73.91536
"541","VILLA TRINA FOOD CORP","Bronx",2020,"70 EAST 183RD ST",40.858247,-73.902387
"542","48 Burnside Food Corp (Food Dynasty Supermarket)","Bronx",2022,"40 W Burnside Avenue",40.853839,-73.909077
"543","58 Burnside Food Corp","Bronx",2022,"58 W Burnside Avenue",40.854163,-73.909767
"544","151 E Tremont Food Corp (Compare Supermarket)","Bronx",2022,"151 E Tremont Avenue",40.8502,-73.906783
"545","183 Food Market Corp (Food Universe Supermarket)","Bronx",2022,"60 W 183rd Street",40.85917,-73.906246
"546","1029 Food Plaza Inc","Bronx",2022,"122 E 181 Street",40.854853,-73.903444
"547","A B International Market Inc (African)","Bronx",2022,"2235 Jerome Avenue",40.857552,-73.904398
"548","AD Food Corp (Antillana Supermarket)","Bronx",2022,"2285 Grand Concourse",40.857079,-73.900173
"549","Amor Supermarket Corp","Bronx",2022,"35 W 183rd Street",40.85885,-73.905292
"550","Ashley & Wilbis","Bronx",2022,"2160 Walton Avenue",40.855644,-73.904491
"551","BBC Deli Grocery Corp","Bronx",2022,"51 E Tremont Avenue",40.851275,-73.908322
"552","Bonoful Grocery Inc","Bronx",2022,"7 E 182nd Street",40.85726,-73.904293
"553","Charisse And Christine Enterprise Ltd (C-Town)","Bronx",2022,"1750 University Avenue",40.849322,-73.917079
"554","Cruz Meat Corp (Pioneer Supermarket)","Bronx",2022,"2262 Jerome Avenue",40.85815,-73.904025
"555","Fama Food Corp (C-Town)","Bronx",2022,"2276 Creston Avenue",40.857302,-73.901203
"556","Franco Fruit And Vegetable","Bronx",2022,"121 E Burnside Avenue",40.853012,-73.905221
"557","Gava Food Corp (Bravo Supermarket)","Bronx",2022,"127 W Burnside Avenue",40.853829,-73.913899
"558","La Vega Food (Villa Trina Food)","Bronx",2022,"70 East 183rd Street",40.858247,-73.902387
"559","Los Castlillos Mini Market (Supermarket)","Bronx",2022,"1601 University Avenue",40.846977,-73.920465
"560","Los Pinos Food Corp (Food Universe Supermarket)","Bronx",2022,"148 E Burnside Avenue",40.852452,-73.904629
"561","Peguero Grand Grocery Corp","Bronx",2022,"2241 Grand Avenue",40.858176,-73.90623
"562","Tres K Deli","Bronx",2022,"125 W Tremont Avenue",40.850041,-73.913619
"563","El Patio Deli Corp.","Manhattan",2022,"2082 Madison Avenue",40.809627,-73.93782
"564","Lenox & 132nd Food Corp.","Manhattan",2022,"424 West 135th Street",40.818092,-73.950161
"565","Fine Fare Supermarket","Manhattan",2022,"48 Lenox Avenue",40.799552,-73.95145
"566","Golden Deli Grocery Corp.","Manhattan",2022,"2210 5th Avenue",40.812473,-73.937835
"567","AJ Food Center","Manhattan",2022,"1 West 131th Street",40.810416,-73.939961
"568","Exquisite Deli & Grill","Manhattan",2022,"521 Malcom X Blvd",NA,NA
"569","FunFair Deli Corp.","Manhattan",2022,"537 Lenox Avenue",40.815499,-73.939852
"570","Key Food Supermarket","Manhattan",2022,"592 Lenox Avenue",40.817088,-73.938669
"571","Domingo Grocery","Manhattan",2022,"2591 8th Avenue",40.818518,-73.945088
"572","Farida Halal African Market","Manhattan",2022,"2529 Frederick Douglas Blvd",40.816674,-73.946433
"573","135th St. Deli & Grocery","Manhattan",2022,"266 West 135th Street",40.816213,-73.945877
"574","3 JS Deli Grocery INC.","Bronx",2023,"1098 Anderson Avenue",40.834714,-73.9253
"575","53 JM Deli Grocery Corp","Bronx",2023,"53 West 167th Street",40.836139,-73.924626
"576","152 VM Grocery Corp","Bronx",2023,"152 East 171 Street",40.84021,-73.91417
"577","881 Stadium Food Corp","Bronx",2023,"881 Gerard Avenue",40.827924,-73.924704
"578","1289 JC Deli Grocery Corp","Bronx",2023,"1289 Walton Avenue",40.837053,-73.917943
"579","1296 Rivera Grocery Inc","Bronx",2023,"1296 Walton Avenue",40.83741,-73.917636
"580","1434 Food CO LLC","Bronx",2023,"1434 Jerome Avenue",40.840986,-73.917132
"581","1538 Deli Grocery Corp","Bronx",2023,"1538 University Avenue",40.845806,-73.921991
"582","1605 Grocery and Deli Market Corp","Bronx",2023,"1605 Inwood Avenue",40.845574,-73.915309
"583","Alra Corp","Bronx",2023,"1384 Nelson Avenue",40.841588,-73.922593
"584","A&R Grocery  Deli Corp","Bronx",2023,"57 East 168th Street",40.836717,-73.919216
"585","Barbara Deli Food Corp","Bronx",2023,"1027 Walton Avenue",40.830735,-73.922027
"586","C & C Brothers of NY","Bronx",2023,"59 East 167th Street",40.835507,-73.920612
"587","Deli Mini Market Corp","Bronx",2023,"1472 Inwood Avenue",40.842095,-73.917782
"588","Daylan Deli Corp","Bronx",2023,"100 West 168th Street",40.838274,-73.924313
